date,year,quarter_cumulative,state_id,aor_cumulative
1514764800000,2018,1,1,57.0
1514764800000,2018,1,2,56.2
1514764800000,2018,1,3,41.2
1514764800000,2018,1,4,53.2
1514764800000,2018,1,5,48.0
1514764800000,2018,1,6,78.4
1514764800000,2018,1,7,40.5
1514764800000,2018,1,8,35.2
1514764800000,2018,1,9,61.1
1514764800000,2018,1,10,73.5
1514764800000,2018,1,11,42.3
1514764800000,2018,1,12,55.3
1514764800000,2018,1,13,37.9
1514764800000,2018,1,14,59.9
1514764800000,2018,1,15,38.7
1514764800000,2018,1,16,73.5
1514764800000,2018,1,18,59.0
1522540800000,2018,2,1,58.1
1522540800000,2018,2,2,55.7
1522540800000,2018,2,3,41.0
1522540800000,2018,2,4,56.0
1522540800000,2018,2,5,52.6
1522540800000,2018,2,6,80.7
1522540800000,2018,2,7,42.7
1522540800000,2018,2,8,27.8
1522540800000,2018,2,9,57.9
1522540800000,2018,2,10,68.1
1522540800000,2018,2,11,46.8
1522540800000,2018,2,12,54.5
1522540800000,2018,2,13,36.3
1522540800000,2018,2,14,60.7
1522540800000,2018,2,15,44.2
1522540800000,2018,2,16,70.3
1522540800000,2018,2,18,59.4
1530403200000,2018,3,1,57.9
1530403200000,2018,3,2,57.1
1530403200000,2018,3,3,43.5
1530403200000,2018,3,4,57.8
1530403200000,2018,3,5,53.3
1530403200000,2018,3,6,80.2
1530403200000,2018,3,7,43.6
1530403200000,2018,3,8,28.4
1530403200000,2018,3,9,60.4
1530403200000,2018,3,10,69.1
1530403200000,2018,3,11,48.1
1530403200000,2018,3,12,56.4
1530403200000,2018,3,13,39.1
1530403200000,2018,3,14,62.3
1530403200000,2018,3,15,44.8
1530403200000,2018,3,16,70.7
1530403200000,2018,3,18,60.6
1538352000000,2018,5,1,58.7
1538352000000,2018,5,2,56.1
1538352000000,2018,5,3,44.1
1538352000000,2018,5,4,57.3
1538352000000,2018,5,5,54.2
1538352000000,2018,5,6,78.8
1538352000000,2018,5,7,44.1
1538352000000,2018,5,8,31.0
1538352000000,2018,5,9,62.2
1538352000000,2018,5,10,67.2
1538352000000,2018,5,11,48.9
1538352000000,2018,5,12,57.2
1538352000000,2018,5,13,39.9
1538352000000,2018,5,14,63.3
1538352000000,2018,5,15,46.2
1538352000000,2018,5,16,72.1
