date,year,quarter_cumulative,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1514764800000,2018,1,1,1162252,555754,1718006
1514764800000,2018,1,2,676424,429794,1106218
1514764800000,2018,1,3,213828,13360,227188
1514764800000,2018,1,4,717519,352461,1069980
1514764800000,2018,1,5,398568,89187,487755
1514764800000,2018,1,6,2204834,685087,2889922
1514764800000,2018,1,7,658755,56926,715681
1514764800000,2018,1,8,39607,1566,41172
1514764800000,2018,1,9,722453,745296,1467749
1514764800000,2018,1,10,991835,696913,1688748
1514764800000,2018,1,11,934627,121740,1056367
1514764800000,2018,1,12,722116,378080,1100196
1514764800000,2018,1,13,406065,34670,440735
1514764800000,2018,1,14,1762662,2268754,4031416
1514764800000,2018,1,15,111040,26455,137495
1514764800000,2018,1,16,82219,42308,124527
1514764800000,2018,1,18,11804804,6498351,18303154
1514764800000,2018,1,19,9767302,5653242,15420544
1522540800000,2018,2,1,2391507,1022814,3414321
1522540800000,2018,2,2,1272112,654675,1926787
1522540800000,2018,2,3,529413,25826,555239
1522540800000,2018,2,4,1448476,725924,2174400
1522540800000,2018,2,5,955549,231460,1187009
1522540800000,2018,2,6,4210499,1277777,5488276
1522540800000,2018,2,7,1389884,151471,1541355
1522540800000,2018,2,8,68916,2983,71899
1522540800000,2018,2,9,1550308,1482945,3033253
1522540800000,2018,2,10,1926411,1288780,3215191
1522540800000,2018,2,11,2114042,271166,2385208
1522540800000,2018,2,12,1287244,751068,2038312
1522540800000,2018,2,13,761560,80556,842116
1522540800000,2018,2,14,3121601,4111372,7232973
1522540800000,2018,2,15,268597,51407,320004
1522540800000,2018,2,16,166118,90086,256204
1522540800000,2018,2,18,23462237,12220310,35682547
1522540800000,2018,2,19,19153187,10608957,29762144
1530403200000,2018,3,1,3345609,1754107,5099716
1530403200000,2018,3,2,1799796,1190501,2990297
1530403200000,2018,3,3,788116,42552,830668
1530403200000,2018,3,4,2129857,1160789,3290646
1530403200000,2018,3,5,1417087,375844,1792931
1530403200000,2018,3,6,5982004,2128189,8110193
1530403200000,2018,3,7,1853424,219611,2073035
1530403200000,2018,3,8,116898,5440,122338
1530403200000,2018,3,9,2439934,2318089,4758023
1530403200000,2018,3,10,3080552,2159195,5239747
1530403200000,2018,3,11,3052276,410061,3462337
1530403200000,2018,3,12,1890940,1166938,3057878
1530403200000,2018,3,13,1218902,167493,1386395
1530403200000,2018,3,14,5488398,7589181,13077579
1530403200000,2018,3,15,307766,56549,364315
1530403200000,2018,3,16,237728,133323,371051
1530403200000,2018,3,18,35149287,20877862,56027149
1530403200000,2018,3,19,28708693,18252057,46960750
1538352000000,2018,5,1,5002635,2615254,7617889
1538352000000,2018,5,2,2661145,1589344,4250490
1538352000000,2018,5,3,1169007,54075,1223082
