date,year,quarter_quarterly,state_id,domestic_hotel_guest,foreigner_hotel_guest,overall_hotel_guest
1514764800000,2018,1,1,1162252,555754,1718006
1514764800000,2018,1,2,676424,429794,1106218
1514764800000,2018,1,3,213828,13360,227188
1514764800000,2018,1,4,717519,352461,1069980
1514764800000,2018,1,5,398568,89187,487755
1514764800000,2018,1,6,2204834,685087,2889922
1514764800000,2018,1,7,658755,56926,715681
1514764800000,2018,1,8,39607,1566,41172
1514764800000,2018,1,9,722453,745296,1467749
1514764800000,2018,1,10,991835,696913,1688748
1514764800000,2018,1,11,934627,121740,1056367
1514764800000,2018,1,12,722116,378080,1100196
1514764800000,2018,1,13,406065,34670,440735
1514764800000,2018,1,14,1762662,2268754,4031416
1514764800000,2018,1,15,111040,26455,137495
1514764800000,2018,1,16,82219,42308,124527
1514764800000,2018,1,18,11804804,6498351,18303154
1514764800000,2018,1,19,9767302,5653242,15420544
1522540800000,2018,2,1,1229255,467060,1696315
1522540800000,2018,2,2,595688,224881,820569
1522540800000,2018,2,3,315585,12466,328051
1522540800000,2018,2,4,730957,373463,1104420
1522540800000,2018,2,5,556981,142273,699254
1522540800000,2018,2,6,2005665,592690,2598355
1522540800000,2018,2,7,731129,94545,825674
1522540800000,2018,2,8,29309,1417,30727
1522540800000,2018,2,9,827855,737649,1565504
1522540800000,2018,2,10,934576,591867,1526443
1522540800000,2018,2,11,1179415,149426,1328841
1522540800000,2018,2,12,565128,372988,938116
1522540800000,2018,2,13,355495,45886,401381
1522540800000,2018,2,14,1358939,1842618,3201557
1522540800000,2018,2,15,157557,24952,182509
1522540800000,2018,2,16,83899,47778,131677
1522540800000,2018,2,18,11657433,5721959,17379393
1522540800000,2018,2,19,9385885,4955714,14341600
1530403200000,2018,3,1,954102,731293,1685395
1530403200000,2018,3,2,527684,535826,1063510
1530403200000,2018,3,3,258703,16726,275429
1530403200000,2018,3,4,681381,434865,1116246
1530403200000,2018,3,5,461538,144384,605922
1530403200000,2018,3,6,1771505,850412,2621917
1530403200000,2018,3,7,463540,68140,531680
1530403200000,2018,3,8,47982,2457,50439
1530403200000,2018,3,9,889626,835144,1724770
1530403200000,2018,3,10,1154141,870415,2024556
1530403200000,2018,3,11,938234,138895,1077129
1530403200000,2018,3,12,603696,415870,1019566
1530403200000,2018,3,13,457342,86937,544279
1530403200000,2018,3,14,2366797,3477809,5844606
1530403200000,2018,3,15,39169,5142,44311
1530403200000,2018,3,16,71610,43237,114847
1530403200000,2018,3,18,11687050,8657552,20344602
1530403200000,2018,3,19,9555506,7643100,17198606
1538352000000,2018,4,1,1657026,861147,2518173
1538352000000,2018,4,2,861349,398843,1260192
1538352000000,2018,4,3,291547,11182,302729
1538352000000,2018,4,4,1229435,394314,1623749
1538352000000,2018,4,5,588029,83435,671464
