date,year,quarter_cumulative,state_id,total_hotel,total_room
1514764800000,2018,1,1,,
1514764800000,2018,1,2,,
1514764800000,2018,1,3,,
1514764800000,2018,1,4,,
1514764800000,2018,1,5,,
1514764800000,2018,1,6,,
1514764800000,2018,1,7,,
1514764800000,2018,1,8,,
1514764800000,2018,1,9,,
1514764800000,2018,1,10,,
1514764800000,2018,1,11,,
1514764800000,2018,1,12,,
1514764800000,2018,1,13,,
1514764800000,2018,1,14,,
1514764800000,2018,1,15,,
1514764800000,2018,1,16,,
1514764800000,2018,1,17,,
1514764800000,2018,1,18,,
1546300800000,2019,1,1,,
1546300800000,2019,1,2,,
1546300800000,2019,1,3,,
1546300800000,2019,1,4,,
1546300800000,2019,1,5,,
1546300800000,2019,1,6,,
1546300800000,2019,1,7,,
1546300800000,2019,1,8,,
1546300800000,2019,1,9,,
1546300800000,2019,1,10,,
1546300800000,2019,1,11,,
1546300800000,2019,1,12,,
1546300800000,2019,1,13,,
1546300800000,2019,1,14,,
1546300800000,2019,1,15,,
1546300800000,2019,1,16,,
1546300800000,2019,1,17,,
1546300800000,2019,1,18,,
1577836800000,2020,1,1,,
1577836800000,2020,1,2,,
1577836800000,2020,1,3,,
1577836800000,2020,1,4,,
1577836800000,2020,1,5,,
1577836800000,2020,1,6,,
1577836800000,2020,1,7,,
1577836800000,2020,1,8,,
1577836800000,2020,1,9,,
1577836800000,2020,1,10,,
1577836800000,2020,1,11,,
1577836800000,2020,1,12,,
1577836800000,2020,1,13,,
1577836800000,2020,1,14,,
1577836800000,2020,1,15,,
1577836800000,2020,1,16,,
1577836800000,2020,1,17,,
1577836800000,2020,1,18,,
1609459200000,2021,1,1,567.0,35186.0
1609459200000,2021,1,2,346.0,18548.0
1609459200000,2021,1,3,160.0,6096.0
1609459200000,2021,1,4,324.0,19581.0
1609459200000,2021,1,5,168.0,11096.0
1609459200000,2021,1,6,486.0,33603.0
1609459200000,2021,1,7,457.0,18937.0
1609459200000,2021,1,8,41.0,1297.0
1609459200000,2021,1,9,283.0,20558.0
1609459200000,2021,1,10,587.0,27963.0
1609459200000,2021,1,11,574.0,28752.0
1609459200000,2021,1,12,428.0,30850.0
1609459200000,2021,1,13,237.0,10562.0
1609459200000,2021,1,14,456.0,56334.0
1609459200000,2021,1,15,47.0,2285.0
1609459200000,2021,1,16,9.0,1843.0
1609459200000,2021,1,17,,
1609459200000,2021,1,18,5170.0,323491.0
1640995200000,2022,1,1,551.0,34816.0
1640995200000,2022,1,2,339.0,18354.0
1640995200000,2022,1,3,160.0,6113.0
1640995200000,2022,1,4,342.0,19795.0
1640995200000,2022,1,5,177.0,11619.0
1640995200000,2022,1,6,494.0,33479.0
1640995200000,2022,1,7,530.0,19902.0
1640995200000,2022,1,8,42.0,1332.0
1640995200000,2022,1,9,300.0,21332.0
1640995200000,2022,1,10,585.0,27952.0
1640995200000,2022,1,11,567.0,28717.0
1640995200000,2022,1,12,436.0,31378.0
1640995200000,2022,1,13,235.0,10509.0
1640995200000,2022,1,14,448.0,56115.0
1640995200000,2022,1,15,47.0,2285.0
1640995200000,2022,1,16,9.0,1844.0
1640995200000,2022,1,17,,
1640995200000,2022,1,18,5262.0,325542.0
1672531200000,2023,1,1,538.0,34511.0
1672531200000,2023,1,2,313.0,17954.0
1672531200000,2023,1,3,158.0,6075.0
1672531200000,2023,1,4,352.0,19686.0
1672531200000,2023,1,5,161.0,11129.0
1672531200000,2023,1,6,500.0,34181.0
1672531200000,2023,1,7,488.0,19976.0
1672531200000,2023,1,8,41.0,1361.0
1672531200000,2023,1,9,360.0,24490.0
1672531200000,2023,1,10,485.0,25612.0
1672531200000,2023,1,11,515.0,26177.0
1672531200000,2023,1,12,439.0,32241.0
1672531200000,2023,1,13,253.0,10993.0
1672531200000,2023,1,14,424.0,55893.0
1672531200000,2023,1,15,47.0,2284.0
1672531200000,2023,1,16,10.0,1999.0
1672531200000,2023,1,17,,
1672531200000,2023,1,18,5084.0,324562.0
1704067200000,2024,1,1,547.0,35295.0
1704067200000,2024,1,2,330.0,19029.0
1704067200000,2024,1,3,169.0,6269.0
1704067200000,2024,1,4,356.0,20174.0
1704067200000,2024,1,5,160.0,10643.0
1704067200000,2024,1,6,503.0,33387.0
1704067200000,2024,1,7,487.0,19763.0
1704067200000,2024,1,8,44.0,1448.0
1704067200000,2024,1,9,372.0,26193.0
1704067200000,2024,1,10,534.0,27150.0
1704067200000,2024,1,11,512.0,27191.0
1704067200000,2024,1,12,453.0,34412.0
1704067200000,2024,1,13,255.0,10927.0
1704067200000,2024,1,14,451.0,61357.0
1704067200000,2024,1,15,49.0,2272.0
1704067200000,2024,1,16,12.0,2508.0
1704067200000,2024,1,17,,
1704067200000,2024,1,18,5234.0,338018.0
1735689600000,2025,1,1,552.0,36034.0
1735689600000,2025,1,2,330.0,18747.0
1735689600000,2025,1,3,170.0,6362.0
1735689600000,2025,1,4,357.0,20835.0
1735689600000,2025,1,5,166.0,10955.0
1735689600000,2025,1,6,501.0,34267.0
1735689600000,2025,1,7,483.0,19636.0
1735689600000,2025,1,8,44.0,1489.0
1735689600000,2025,1,9,379.0,27494.0
1735689600000,2025,1,10,540.0,27230.0
1735689600000,2025,1,11,522.0,27918.0
1735689600000,2025,1,12,460.0,34949.0
1735689600000,2025,1,13,256.0,11190.0
1735689600000,2025,1,14,470.0,64773.0
1735689600000,2025,1,15,50.0,2291.0
1735689600000,2025,1,16,13.0,2580.0
1735689600000,2025,1,17,,
1735689600000,2025,1,18,5293.0,346750.0
1767225600000,2026,1,1,552.0,35599.0
1767225600000,2026,1,2,330.0,18679.0
1767225600000,2026,1,3,224.0,6392.0
1767225600000,2026,1,4,357.0,20655.0
1767225600000,2026,1,5,171.0,11410.0
1767225600000,2026,1,6,505.0,34435.0
1767225600000,2026,1,7,486.0,19572.0
1767225600000,2026,1,8,46.0,1553.0
1767225600000,2026,1,9,384.0,28045.0
1767225600000,2026,1,10,545.0,27420.0
1767225600000,2026,1,11,523.0,28236.0
1767225600000,2026,1,12,462.0,35071.0
1767225600000,2026,1,13,258.0,11314.0
1767225600000,2026,1,14,478.0,66788.0
1767225600000,2026,1,15,50.0,2298.0
1767225600000,2026,1,16,15.0,2656.0
1767225600000,2026,1,17,,
1767225600000,2026,1,18,5386.0,350123.0
